id,release_date,movie,production_budget,domestic_gross,worldwide_gross,tconst,primary_title,original_title,start_year,runtime_minutes,genres
78,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,tt3731562,Kong: Skull Island,Kong: Skull Island,2017,118.0,"Action,Adventure,Fantasy"
79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,tt2660888,Star Trek Beyond,Star Trek Beyond,2016,122.0,"Action,Adventure,Sci-Fi"
80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,tt1856101,Blade Runner 2049,Blade Runner 2049,2017,164.0,"Drama,Mystery,Sci-Fi"
81,2019-05-24,Aladdin,182000000.0,246734314.0,619234314.0,tt6139732,Aladdin,Aladdin,2019,128.0,"Adventure,Comedy,Family"
81,2019-05-24,Aladdin,182000000.0,246734314.0,619234314.0,tt9698912,Aladdin,Aladdin,2017,,Fantasy
33,1992-11-11,Aladdin,28000000.0,217350219.0,504050219.0,tt6139732,Aladdin,Aladdin,2019,128.0,"Adventure,Comedy,Family"
33,1992-11-11,Aladdin,28000000.0,217350219.0,504050219.0,tt9698912,Aladdin,Aladdin,2017,,Fantasy
82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,tt3501632,Thor: Ragnarok,Thor: Ragnarok,2017,130.0,"Action,Adventure,Comedy"
84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,tt1587310,Maleficent,Maleficent,2014,97.0,"Action,Adventure,Family"
85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,tt3183660,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,2016,132.0,"Adventure,Family,Fantasy"
88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,tt0918940,The Legend of Tarzan,The Legend of Tarzan,2016,110.0,"Action,Adventure,Drama"
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,tt0970179,Hugo,Hugo,2011,126.0,"Adventure,Drama,Family"
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,tt7496196,Hugo,Hugo,2017,80.0,Documentary
90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,tt2239822,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,2017,137.0,"Action,Adventure,Fantasy"
91,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,tt1617661,Jupiter Ascending,Jupiter Ascending,2015,127.0,"Action,Adventure,Sci-Fi"
93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,tt3385516,X-Men: Apocalypse,X-Men: Apocalypse,2016,144.0,"Action,Adventure,Sci-Fi"
94,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0,tt4779682,The Meg,The Meg,2018,113.0,"Action,Horror,Sci-Fi"
95,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,tt1631867,Edge of Tomorrow,Edge of Tomorrow,2014,113.0,"Action,Sci-Fi"
96,2019-03-08,Captain Marvel,175000000.0,426525952.0,1123061550.0,tt4154664,Captain Marvel,Captain Marvel,2019,123.0,"Action,Adventure,Sci-Fi"
97,2016-04-15,The Jungle Book,175000000.0,364001123.0,962854547.0,tt2226178,The Jungle Book,The Jungle Book,2014,64.0,Animation
97,2016-04-15,The Jungle Book,175000000.0,364001123.0,962854547.0,tt3040964,The Jungle Book,The Jungle Book,2016,106.0,"Adventure,Drama,Family"
96,1994-12-25,The Jungle Book,27000000.0,44342956.0,44342956.0,tt2226178,The Jungle Book,The Jungle Book,2014,64.0,Animation
96,1994-12-25,The Jungle Book,27000000.0,44342956.0,44342956.0,tt3040964,The Jungle Book,The Jungle Book,2016,106.0,"Adventure,Drama,Family"
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,tt1640486,Inside Out,Inside Out,2011,93.0,"Crime,Drama"
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,tt2064820,Inside Out,Inside Out,2011,,Drama
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,tt2071483,Inside Out,Inside Out,2011,59.0,Family
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,tt2096673,Inside Out,Inside Out,2015,95.0,"Adventure,Animation,Comedy"
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,tt2608638,Inside Out,Inside Out,2013,75.0,"Biography,Documentary,History"
99,2017-07-07,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,tt2250912,Spider-Man: Homecoming,Spider-Man: Homecoming,2017,133.0,"Action,Adventure,Sci-Fi"
100,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0,tt1386697,Suicide Squad,Suicide Squad,2016,123.0,"Action,Adventure,Fantasy"
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,tt2380307,Coco,Coco,2017,105.0,"Adventure,Animation,Comedy"
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,tt7002100,Coco,Coco,2017,98.0,Horror
5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,tt3606752,Cars 3,Cars 3,2017,102.0,"Adventure,Animation,Comedy"
11,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,tt1972591,King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,2017,126.0,"Action,Adventure,Drama"
12,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,tt1335975,47 Ronin,47 Ronin,2013,128.0,"Action,Adventure,Drama"
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,tt4881806,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018,128.0,"Action,Adventure,Sci-Fi"
