tmdb_id,tconst,primary_title,original_title,movie,runtime_minutes,genres,genre_ids,averagerating,numvotes,release_date_x,release_date_y,vote_average,vote_count,popularity,domestic_gross,production_budget,worldwide_gross
254472,tt3300572,Stung,Stung,Stung,87.0,"Action,Adventure,Comedy","[35, 27]",5.1,4257,2015-07-03,2015-07-03,5.1,91,6.5729999999999995,0,2500000,0
211557,tt3311588,Vessel,Vessel,Vessel,90.0,"Adventure,Biography,Documentary","[27, 878]",7.5,194,2015-01-09,2012-10-28,6.3,13,1.266,0,800000,0
261392,tt3316948,American Ultra,American Ultra,American Ultra,96.0,"Action,Comedy,Sci-Fi","[35, 28]",6.1,76769,2015-08-21,2015-08-21,6.0,1756,9.97,14439985,28000000,30295028
284293,tt3316960,Still Alice,Still Alice,Still Alice,101.0,Drama,[18],7.5,116832,2015-01-16,2014-12-05,7.5,1946,10.747,18656400,5000000,41699612
241257,tt3319920,Regression,Regression,Regression,106.0,"Crime,Horror,Mystery","[27, 9648, 53, 80]",5.7,33335,2015-10-30,2016-02-05,5.5,1065,10.713,55039,20000000,15824374
250546,tt3322940,Annabelle,Annabelle,Annabelle,99.0,"Horror,Mystery,Thriller",[27],5.4,122039,2014-10-03,2014-10-03,5.6,3357,13.989,84273813,6500000,256862920
266647,tt3332064,Pan,Pan,Pan,111.0,"Adventure,Comedy,Family","[12, 10751, 14]",5.8,55867,2015-10-09,2015-10-09,5.9,1701,13.054,35088320,150000000,151525973
332285,tt3333870,Antibirth,Antibirth,Antibirth,94.0,Horror,[27],4.9,2759,2016-09-02,2016-09-02,4.8,66,5.716,0,2500000,0
257087,tt3343868,The Veil,The Veil,The Veil,93.0,"Action,Adventure,Sci-Fi",[27],3.5,1236,2015-12-31,2016-02-02,4.6,188,9.148,0,4000000,0
257087,tt3533916,The Veil,The Veil,The Veil,93.0,Horror,[27],4.8,6895,2015-12-31,2016-02-02,4.6,188,9.148,0,4000000,0
309503,tt3346224,Zipper,Zipper,Zipper,112.0,"Drama,Thriller","[53, 18]",5.8,6120,2015-08-28,2015-08-28,5.7,85,9.373,0,4500000,0
298250,tt3348730,Jigsaw,Jigsaw,Jigsaw,92.0,"Crime,Horror,Mystery","[80, 27, 9648, 53]",5.8,57184,2017-10-27,2017-10-27,6.1,1887,17.398,38052832,10000000,102445196
335988,tt3371366,Transformers: The Last Knight,Transformers: The Last Knight,Transformers: The Last Knight,154.0,"Action,Adventure,Sci-Fi","[28, 878, 53, 12]",5.2,119007,2017-06-21,2017-06-21,6.0,3255,24.258000000000003,130168683,217000000,602893340
276907,tt3381068,Gnome Alone,Legend,Legend,94.0,Horror,"[80, 53]",3.5,303,2015-11-20,2015-11-20,6.8,1692,10.195,1872994,25000000,42425450
276907,tt3555036,Legend,Legend,Legend,168.0,"Action,Drama","[80, 53]",6.5,1568,2015-11-20,2015-11-20,6.8,1692,10.195,1872994,25000000,42425450
